,,,,Exemption 3 Statutes,,,Dates (mm/dd/yy),,,,,Disposition,,,Appeal,,,Reason for Denial on Appeal - Reason(s) ,,,Request for Expedited Processing,,,,Request for Fee Waiver,,,,
Emergency and Remedial Response Division,EPA-R2-2017-004801,N,20,,,,10-Mar-17,,,,Simple,,,,,,,,,,10-Mar-17,22-Mar-17,11,Deny,,,, ,
Region 2,EPA-R2-2017-004825,N,20,,,,12-Mar-17,,31-Mar-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004826,N,20,,,,13-Mar-17,13-Mar-17,31-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,13-Mar-17,22-Mar-17,8,Deny,
Region 2,EPA-R2-2017-004832,N,20,,,,13-Mar-17,13-Mar-17,5-May-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Emergency and Remedial Response Division,EPA-R2-2017-004833,N,20,,,,13-Mar-17,26-Apr-17,3-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004836,N,20,,,,13-Mar-17,13-Mar-17,20-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004840,N,20,,,,13-Mar-17,13-Mar-17,20-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004844,N,20,,,,13-Mar-17,13-Mar-17,20-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Emergency and Remedial Response Division,EPA-R2-2017-004856,N,20,,,,13-Mar-17,13-Mar-17,4-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004867,N,20,,,,14-Mar-17,14-Mar-17,20-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004868,N,20,,,,14-Mar-17,14-Mar-17,20-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004870,N,20,,,,14-Mar-17,14-Mar-17,20-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004874,N,20,,,,14-Mar-17,14-Mar-17,20-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004875,N,20,,,,14-Mar-17,14-Mar-17,21-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004890,N,20,,,,14-Mar-17,14-Mar-17,21-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004891,N,20,,,,14-Mar-17,14-Mar-17,21-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Clean Air and Sustainability Division,EPA-R2-2017-004900,N,20,,,,15-Mar-17,15-Mar-17,22-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Clean Air and Sustainability Division,EPA-R2-2017-004903,N,20,,,,15-Mar-17,15-Mar-17,2-Jun-17,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Clean Air and Sustainability Division,EPA-R2-2017-004906,N,20,,,,15-Mar-17,15-Mar-17,22-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004908,N,20,,,,15-Mar-17,15-Mar-17,28-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004909,N,20,,,,15-Mar-17,15-Mar-17,28-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Clean Air and Sustainability Division,EPA-R2-2017-004910,N,20,,,,15-Mar-17,15-Mar-17,29-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Clean Air and Sustainability Division,EPA-R2-2017-004918,N,20,,,,15-Mar-17,15-Mar-17,9-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004926,N,20,,,,15-Mar-17,15-Mar-17,28-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004928,N,20,,,,15-Mar-17,15-Mar-17,28-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004970,N,20,,,,15-Mar-17,15-Mar-17,,,Simple,,,,,,,,,,,,, ,,,, ,
Emergency and Remedial Response Division,EPA-R2-2017-004993,N,20,,,,16-Mar-17,16-Mar-17,30-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004995,N,20,,,,16-Mar-17,16-Mar-17,28-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Division of Enforcement and Compliance Assistance,EPA-R2-2017-005000,N,20,,,,16-Mar-17,16-Mar-17,17-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005013,N,20,,,,16-Mar-17,16-Mar-17,28-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005022,N,20,,,,16-Mar-17,16-Mar-17,28-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005023,N,20,,,,16-Mar-17,16-Mar-17,28-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005024,N,20,,,,16-Mar-17,16-Mar-17,28-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005025,N,20,,,,16-Mar-17,16-Mar-17,28-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005026,N,20,,,,16-Mar-17,16-Mar-17,28-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005027,N,20,,,,16-Mar-17,16-Mar-17,28-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005029,N,20,,,,16-Mar-17,16-Mar-17,28-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005034,N,20,,,,17-Mar-17,,7-Apr-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,,,, ,
Clean Air and Sustainability Division,EPA-R2-2017-005037,N,20,,,,17-Mar-17,17-Mar-17,29-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005041,N,20,,,,17-Mar-17,17-Mar-17,21-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005049,N,20,,,,17-Mar-17,17-Mar-17,28-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005077,N,20,,,,20-Mar-17,20-Mar-17,28-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005081,N,20,,,,20-Mar-17,20-Mar-17,28-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005082,N,20,,,,20-Mar-17,20-Mar-17,28-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005087,N,20,,,,20-Mar-17,20-Mar-17,28-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005093,N,20,,,,20-Mar-17,20-Mar-17,28-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005101,N,20,,,,20-Mar-17,20-Mar-17,28-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Emergency and Remedial Response Division,EPA-R2-2017-005127,N,20,,,,21-Mar-17,21-Mar-17,3-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005130,N,20,,,,21-Mar-17,21-Mar-17,31-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005134,N,20,,,,21-Mar-17,21-Mar-17,31-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005138,N,20,,,,21-Mar-17,21-Mar-17,31-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005140,N,20,,,,21-Mar-17,21-Mar-17,31-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005154,N,20,,,,22-Mar-17,22-Mar-17,31-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005155,N,20,,,,22-Mar-17,22-Mar-17,5-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Regional Counsel,EPA-R2-2017-005156,N,20,,,,22-Mar-17,22-Mar-17,16-Jun-17,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005158,N,20,,,,22-Mar-17,22-Mar-17,,,Simple,,,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005161,N,20,,,,22-Mar-17,22-Mar-17,31-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005162,N,20,,,,22-Mar-17,22-Mar-17,3-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005167,N,20,,,,22-Mar-17,22-Mar-17,3-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005178,N,20,,,,22-Mar-17,22-Mar-17,3-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Division of Enforcement and Compliance Assistance,EPA-R2-2017-005185,N,20,,,,22-Mar-17,22-Mar-17,17-Apr-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005188,N,20,,,,22-Mar-17,22-Mar-17,3-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005189,N,20,,,,22-Mar-17,22-Mar-17,3-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005190,N,20,,,,22-Mar-17,22-Mar-17,3-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005191,N,20,,,,22-Mar-17,22-Mar-17,3-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005193,N,20,,,,22-Mar-17,22-Mar-17,3-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005208,N,20,,,,23-Mar-17,23-Mar-17,16-Aug-17,,Complex,No records, ,,,,,,,,,,, ,,,, ,
Emergency and Remedial Response Division,EPA-R2-2017-005209,N,20,,,,23-Mar-17,23-Mar-17,14-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005216,N,20,,,,23-Mar-17,23-Mar-17,3-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005217,N,20,,,,23-Mar-17,23-Mar-17,3-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005218,N,20,,,,23-Mar-17,23-Mar-17,3-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005221,N,20,,,,23-Mar-17,23-Mar-17,3-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005224,N,20,,,,23-Mar-17,23-Mar-17,3-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005252,N,20,,,,24-Mar-17,24-Mar-17,5-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005253,N,20,,,,24-Mar-17,24-Mar-17,5-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005267,N,20,,,,24-Mar-17,24-Mar-17,3-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005273,N,20,,,,24-Mar-17,24-Mar-17,12-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005278,N,20,,,,24-Mar-17,24-Mar-17,3-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Emergency and Remedial Response Division,EPA-R2-2017-005301,N,20,,,,26-Mar-17,27-Mar-17,10-Aug-17,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Emergency and Remedial Response Division,EPA-R2-2017-005302,N,20,,,,26-Mar-17,27-Mar-17,3-Aug-17,,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Division of Enforcement and Compliance Assistance,EPA-R2-2017-005307,N,20,,,,26-Mar-17,27-Mar-17,20-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005335,N,20,,,,27-Mar-17,,2-Jun-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005336,N,20,,,,27-Mar-17,27-Mar-17,3-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005342,N,20,,,,27-Mar-17,27-Mar-17,,,Simple,,,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005350,N,20,,,,27-Mar-17,27-Mar-17,3-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005352,N,20,,,,27-Mar-17,27-Mar-17,3-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005361,N,20,,,,27-Mar-17,27-Mar-17,16-Aug-17,,Complex,No records, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005376,N,20,,,,28-Mar-17,28-Mar-17,3-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005377,N,20,,,,28-Mar-17,28-Mar-17,3-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005378,N,20,,,,28-Mar-17,28-Mar-17,3-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005379,N,20,,,,28-Mar-17,28-Mar-17,3-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005382,N,20,,,,28-Mar-17,28-Mar-17,3-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005385,N,30,,,,28-Mar-17,28-Mar-17,15-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005389,N,20,,,,28-Mar-17,28-Mar-17,3-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005391,N,20,,,,28-Mar-17,,,,Simple,,,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005396,N,20,,,,28-Mar-17,28-Mar-17,26-Jun-17,,Complex,No records, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005402,N,20,,,,28-Mar-17,28-Mar-17,3-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005412,N,20,,,,28-Mar-17,28-Mar-17,19-Apr-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Division of Enforcement and Compliance Assistance,EPA-R2-2017-005420,N,20,,,,28-Mar-17,28-Mar-17,20-Apr-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005434,N,20,,,,29-Mar-17,29-Mar-17,3-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Clean Air and Sustainability Division,EPA-R2-2017-005437,N,20,,,,29-Mar-17,29-Mar-17,13-Apr-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Emergency and Remedial Response Division,EPA-R2-2017-005449,N,20,,,,29-Mar-17,29-Mar-17,12-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005456,N,20,,,,29-Mar-17,29-Mar-17,3-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005457,N,20,,,,29-Mar-17,29-Mar-17,3-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005460,N,20,,,,29-Mar-17,29-Mar-17,3-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005461,N,20,,,,15-Mar-17,20-Sep-17,,,Simple,,,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005464,N,20,,,,29-Mar-17,29-Mar-17,3-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Clean Water Division,EPA-R2-2017-005466,N,20,,,,29-Mar-17,29-Mar-17,3-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005469,N,20,,,,29-Mar-17,29-Mar-17,3-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005471,N,20,,,,29-Mar-17,29-Mar-17,3-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Clean Air and Sustainability Division,EPA-R2-2017-005496,N,20,,,,30-Mar-17,30-Mar-17,10-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Clean Air and Sustainability Division,EPA-R2-2017-005497,N,20,,,,30-Mar-17,30-Mar-17,10-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Clean Air and Sustainability Division,EPA-R2-2017-005498,N,20,,,,30-Mar-17,30-Mar-17,10-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Clean Air and Sustainability Division,EPA-R2-2017-005505,N,20,,,,30-Mar-17,30-Mar-17,11-Apr-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005518,N,20,,,,30-Mar-17,30-Mar-17,3-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005531,N,30,,,,30-Mar-17,30-Mar-17,30-Aug-17,76,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005540,N,20,,,,30-Mar-17,30-Mar-17,3-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Division of Enforcement and Compliance Assistance,EPA-R2-2017-005556,N,20,,,,30-Mar-17,30-Mar-17,26-Apr-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Office of Regional Counsel,EPA-R2-2017-005558,N,20,,,,30-Mar-17,30-Mar-17,,,Simple,,,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005580,N,20,,,,31-Mar-17,31-Mar-17,3-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Division of Enforcement and Compliance Assistance,EPA-R2-2017-005584,N,20,,,,31-Mar-17,31-Mar-17,3-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005590,N,20,,,,31-Mar-17,31-Mar-17,4-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005616,N,20,,,,2-Apr-17,3-Apr-17,9-Jun-17,,Complex,No records, ,,,,,,,,3-Apr-17,5-Apr-17,2,Deny,2-Apr-17,3-Apr-17,0,Not Billable,
Emergency and Remedial Response Division,EPA-R2-2017-005626,N,20,,,,3-Apr-17,4-Apr-17,18-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005634,N,20,,,,3-Apr-17,3-Apr-17,4-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005660,N,20,,,,3-Apr-17,3-Apr-17,4-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005661,N,20,,,,3-Apr-17,3-Apr-17,4-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005667,N,20,,,,3-Apr-17,3-Apr-17,4-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005672,N,20,,,,3-Apr-17,3-Apr-17,4-Apr-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Emergency and Remedial Response Division,EPA-R2-2017-005674,N,20,,,,3-Apr-17,3-Apr-17,5-May-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005676,N,20,,,,3-Apr-17,3-Apr-17,4-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005683,N,20,,,,4-Apr-17,4-Apr-17,4-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Clean Air and Sustainability Division,EPA-R2-2017-005684,N,20,,,,4-Apr-17,4-Apr-17,13-Apr-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005685,N,20,,,,4-Apr-17,4-Apr-17,4-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005687,N,20,,,,4-Apr-17,4-Apr-17,4-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005689,N,20,,,,4-Apr-17,4-Apr-17,6-Apr-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005692,N,20,,,,4-Apr-17,4-Apr-17,4-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005694,N,20,,,,4-Apr-17,4-Apr-17,4-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005695,N,20,,,,4-Apr-17,4-Apr-17,4-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005696,N,20,,,,4-Apr-17,4-Apr-17,4-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005701,N,20,,,,4-Apr-17,4-Apr-17,4-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005702,N,20,,,,4-Apr-17,4-Apr-17,4-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005703,N,20,,,,4-Apr-17,4-Apr-17,4-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005705,N,20,,,,4-Apr-17,4-Apr-17,4-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005706,N,20,,,,4-Apr-17,4-Apr-17,4-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005708,N,20,,,,4-Apr-17,4-Apr-17,6-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,4-Apr-17,5-Apr-17,0,Not Billable,
Region 2,EPA-R2-2017-005710,N,20,,,,4-Apr-17,4-Apr-17,6-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005711,N,20,,,,4-Apr-17,4-Apr-17,6-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005717,N,20,,,,4-Apr-17,4-Apr-17,6-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005745,N,20,,,,5-Apr-17,5-Apr-17,6-Apr-17,,Simple,Duplicate request, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005746,N,20,,,,5-Apr-17,5-Apr-17,6-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005754,N,20,,,,5-Apr-17,5-Apr-17,7-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Emergency and Remedial Response Division,EPA-R2-2017-005762,N,20,,,,5-Apr-17,5-Apr-17,10-Aug-17,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005763,N,20,,,,5-Apr-17,5-Apr-17,3-May-17,,Simple,No records, ,,,,,,,,5-Apr-17,13-Apr-17,7,Deny,,,, ,
Region 2,EPA-R2-2017-005783,N,20,,,,5-Apr-17,,26-Apr-17,,Simple,Duplicate request, ,,,,,,,,5-Apr-17,12-Apr-17,6,Deny,,,, ,
Region 2,EPA-R2-2017-005791,N,20,,,,6-Apr-17,6-Apr-17,7-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005793,N,20,,,,6-Apr-17,6-Apr-17,7-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005797,N,20,,,,6-Apr-17,6-Apr-17,7-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005798,N,20,,,,6-Apr-17,6-Apr-17,7-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Clean Air and Sustainability Division,EPA-R2-2017-005802,N,20,,,,6-Apr-17,6-Apr-17,13-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Clean Air and Sustainability Division,EPA-R2-2017-005809,N,20,,,,6-Apr-17,6-Apr-17,13-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Clean Air and Sustainability Division,EPA-R2-2017-005810,N,20,,,,6-Apr-17,6-Apr-17,13-Apr-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Emergency and Remedial Response Division,EPA-R2-2017-005811,N,20,,,,6-Apr-17,14-Apr-17,1-Sep-17,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Clean Air and Sustainability Division,EPA-R2-2017-005817,N,20,,,,6-Apr-17,6-Apr-17,13-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005826,N,20,,,,6-Apr-17,6-Apr-17,7-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005835,N,20,,,,6-Apr-17,,3-May-17,,Simple,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005848,N,20,,,,7-Apr-17,7-Apr-17,7-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005855,N,20,,,,7-Apr-17,7-Apr-17,7-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005858,N,20,,,,7-Apr-17,7-Apr-17,7-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005863,N,20,,,,7-Apr-17,7-Apr-17,5-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005870,N,20,,,,7-Apr-17,7-Apr-17,12-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-005872,N,20,,,,7-Apr-17,7-Apr-17,12-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
